STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
KOI 4647,,,-0.04,11.868,12.294,11.766,3.87,1.042,,1.964,5303
KOI 4713,,,0,12.413,12.741,12.348,4.438,1,,1,5780
KOI 4714,,,-0.12,13.431,13.931,13.443,4.589,0.872,,0.78,5356
KOI 4715,,,-0.68,12.621,12.908,12.536,4.297,0.806,,1.057,6015
KOI 4716,,,0.16,11.032,11.286,10.982,4.357,1.087,,1.145,5929
KOI 4505,,,-0.16,12.389,12.635,12.361,4.314,1.023,,1.167,6173
KOI 4506,,,-0.16,13.94,14.311,13.744,4.593,0.871,,0.777,5401
KOI 4508,,,-0.04,13.001,13.58,12.93,4.572,0.707,,0.72,4705
KOI 4580,,,-0.46,11.476,11.76,11.426,3.987,1.192,,1.836,6728
KOI 4649,,,-0.26,13.819,14.144,13.666,4.581,0.888,,0.795,5613
KOI 4650,,,-0.64,13.428,14.084,13.235,4.684,0.541,,0.554,4289
KOI 4651,,,-0.18,12.194,12.581,12.128,4.349,0.837,,1.013,5600
KOI 4509,,,-0.42,13.2,13.804,13.111,4.654,0.58,,0.594,4328
KOI 4581,,,-0.04,12.161,12.458,12.092,4.331,1.05,,1.16,6103
KOI 4582,,,-0.2,10.28,10.622,10.224,4.501,0.903,,0.883,5735
KOI 4583,,,-0.26,14.063,14.497,14,4.589,0.838,,0.769,5461
KOI 3168,,,-0.2,9.119,9.424,9.033,4.086,0.963,,1.471,5843
KOI 4653,,,0.07,12.273,12.556,12.255,4.399,1.232,,1.162,6392
KOI 4655,,,-0.6,13.794,14.193,13.769,4.579,0.865,,0.791,5957
KOI 4656,,,-0.18,12.444,12.617,12.37,4.109,1.351,,1.692,6738
KOI 4730,,,0.3,12.38,12.857,12.306,4.002,0.951,,1.611,5086
KOI 7693,,,0.4,13.769,14.182,13.652,4.486,0.972,,0.933,5383
KOI 4586,,,0.28,12.981,13.284,12.908,4.165,1.2,,1.5,5818
KOI 4587,,,-0.24,14.052,14.385,13.949,4.534,0.972,,0.883,5955
KOI 4588,,,-0.16,11.922,12.165,11.909,4.206,1.212,,1.436,6483
KOI 4657,,,-0.16,11.483,11.946,11.424,4.588,0.848,,0.774,5361
KOI 4659,,,-0.3,12.152,12.53,12.12,4.559,0.928,,0.837,5852
KOI 4661,,,0.16,12.76,13.255,12.643,4.491,0.797,,0.84,5009
KOI 4451,,,-0.24,13.946,14.439,13.737,4.628,0.786,,0.706,5051
KOI 4452,,,-0.2,12.327,12.681,12.248,4.276,0.922,,1.156,5860
KOI 4519,,,0.34,13.48,13.734,13.47,3.68,1.556,,2.985,5814
KOI 4520,,,0.14,12.525,12.924,12.461,3.927,1.071,,1.863,5354
KOI 4590,,,0,14.086,14.489,13.894,4.522,0.839,,0.831,5271
KOI 4591,,,-0.16,13.606,13.927,13.493,4.531,0.983,,0.891,5897
KOI 750,,,0.18,13.298,13.81,13.201,4.5,0.791,,0.828,4954
KOI 7676,,,-0.12,12.306,12.685,12.23,4.538,0.951,,0.869,5753
KOI 4663,,,0.1,11.16,11.524,11.093,4.191,0.986,,1.32,5687
KOI 4456,,,0.14,13.385,13.828,13.4,4.23,0.972,,1.252,5635
KOI 4457,,,-0.3,12.471,12.765,12.444,4.33,1.027,,1.15,6384
KOI 4523,,,0.16,13.236,13.628,13.116,4.319,1.016,,1.157,5753
KOI 4524,,,0.16,13.471,13.773,13.412,4.434,1.003,,1.006,5700
KOI 4595,,,-0.54,13.548,14.041,13.399,4.675,0.688,,0.63,4985
KOI 4597,,,-0.74,13.208,13.543,13.169,4.591,0.864,,0.777,6035
KOI 4666,,,-0.28,13.585,13.996,13.615,4.514,0.824,,0.832,5555
KOI 4667,,,-0.12,14.029,14.352,14.054,4.394,1.167,,1.137,6452
KOI 4668,,,-0.28,12.662,13.034,12.584,4.594,0.864,,0.771,5521
KOI 4670,,,0.24,14.136,14.66,14.016,4.483,0.81,,0.854,4992
KOI 4458,,,-0.46,12.526,12.818,12.506,4.47,0.908,,0.918,6056
KOI 4460,,,0.14,13.007,13.35,12.895,4.332,0.913,,1.08,5497
KOI 4526,,,0.14,13.812,14.161,13.768,4.211,1.046,,1.328,5803
KOI 4528,,,-0.4,11.245,11.688,11.2,4.483,0.739,,0.816,5421
KOI 4530,,,0.14,12.702,13.075,12.65,4.457,1.028,,0.992,5772
KOI 7687,,,-0.56,11.653,11.9,11.592,3.456,1.487,,3.775,5758
KOI 4601,,,-0.06,12.471,12.719,12.434,4.425,1.132,,1.081,6278
KOI 4602,,,0.08,13.017,13.423,12.954,4.415,0.881,,0.964,5441
KOI 3190,,,-0.22,11,11.254,10.956,4.266,0.98,,1.207,6047
KOI 4674,,,-0.14,12.085,12.374,12.026,4.348,0.906,,1.056,5762
KOI 4462,,,-0.12,10.386,10.477,10.351,4.051,1.665,,2.015,7675
KOI 4463,,,-0.16,12.549,12.895,12.545,4.504,0.789,,0.823,5305
KOI 4464,,,-0.18,12.59,13.24,12.438,4.623,0.627,,0.64,4362
KOI 4466,,,-0.36,13.682,13.967,13.585,4.449,1.023,,1.002,6338
KOI 4603,,,-0.08,12.408,12.647,12.365,4.375,1.181,,1.168,6451
KOI 4605,,,-0.18,12.129,12.427,12.109,4.479,0.994,,0.954,6045
KOI 4676,,,0.18,12.303,12.604,12.227,3.814,1.378,,2.407,5947
KOI 4467,,,0,14.062,14.512,13.896,4.573,0.919,,0.819,5436
KOI 4535,,,-0.44,12.944,13.445,12.847,4.546,0.717,,0.748,5289
KOI 7678,,,0.04,10.604,10.912,10.57,4.238,1.048,,1.288,5919
KOI 4680,,,-0.5,13.871,14.264,13.809,4.597,0.865,,0.762,5757
KOI 4541,,,0.16,13.775,14.159,13.856,4.318,0.937,,1.111,5543
KOI 4613,,,-0.1,12.312,12.693,12.261,4.418,0.915,,0.979,5726
KOI 4614,,,-0.16,12.596,12.771,12.476,4.243,1.185,,1.362,6474
KOI 4685,,,0.36,14.03,14.407,13.883,4.484,1.107,,0.998,5763
KOI 4686,,,0.26,10.742,11.061,10.674,3.802,1.365,,2.431,5747
KOI 4477,,,-0.1,13.838,14.196,13.727,4.547,0.961,,0.864,5749
KOI 4478,,,-0.02,12.571,13.049,12.494,4.505,0.768,,0.811,5071
KOI 4545,,,0.36,13.258,13.803,13.19,4.595,0.891,,0.788,4973
KOI 4546,,,0.14,12.063,12.414,12.022,3.637,1.566,,3.147,5897
KOI 4548,,,0.16,13.042,13.444,12.986,4.444,1.044,,1.015,5803
KOI 4904,,,0.14,13.501,13.838,13.454,4.364,0.922,,1.046,5523
KOI 4906,,,-0.36,14.177,14.614,14.138,4.6,0.839,,0.757,5541
KOI 4907,,,-0.16,12.426,12.702,12.383,4.359,1.082,,1.141,6358
KOI 7712,,,-0.38,10.062,10.525,9.97,3.678,0.877,,2.247,5086
KOI 4763,,,-0.14,12.569,12.817,12.516,4.337,0.988,,1.117,5995
KOI 4764,,,-0.2,13.835,14.314,13.761,4.603,0.822,,0.748,5269
KOI 4766,,,0.2,13.311,13.812,13.199,4.479,0.81,,0.859,5032
KOI 4837,,,-0.84,13.631,14.058,13.506,4.669,0.74,,0.656,5516
KOI 4839,,,-0.38,12.083,12.365,12.025,3.813,1.189,,2.241,6194
KOI 4912,,,0.16,13.514,13.807,13.431,4.069,1.32,,1.756,6102
KOI 7703,,,-0.14,13.588,13.893,13.599,4.45,1.012,,0.992,6031
KOI 3301,,,-0.12,12.532,12.904,12.507,4.478,0.89,,0.901,5631
KOI 4768,,,-0.84,13.848,14.299,13.792,4.616,0.638,,0.651,5201
KOI 4771,,,-0.02,12.79,13.012,12.723,4.326,1.292,,1.289,6701
KOI 4772,,,0.14,13.868,14.21,13.735,4.343,1.146,,1.193,6072
KOI 4840,,,0.14,13.056,13.379,12.948,4.083,1.095,,1.574,5812
KOI 3214,,,-0.1,10.617,10.865,10.521,3.985,1.127,,1.788,6033
KOI 4913,,,-0.02,12.173,12.404,12.126,3.76,1.677,,2.829,6537
KOI 4914,,,0.14,12.817,13.131,12.754,4.19,0.972,,1.312,5611
KOI 3224,,,0.16,10.517,10.883,10.462,4.112,0.926,,1.401,5383
KOI 3225,,,0.07,10.552,10.947,10.501,4.179,0.911,,1.286,5513
KOI 3307,,,-0.1,13.759,14.216,13.673,4.46,0.788,,0.865,5290
KOI 7704,,,0.12,13.437,13.772,13.479,4.43,1.147,,1.08,6108
KOI 4774,,,0,12.137,12.555,12.035,4.467,0.821,,0.876,5285
KOI 4775,,,0.32,11.143,11.564,11.07,3.712,1.464,,2.789,5334
KOI 4844,,,-0.18,13.418,13.854,13.299,4.566,0.805,,0.775,5285
KOI 4848,,,-0.12,13.088,13.711,12.997,4.64,0.618,,0.623,4228
KOI 3232,,,0.04,10.842,11.133,10.799,4.462,0.977,,0.962,5734
KOI 3309,,,-0.1,12.785,13.233,12.691,4.46,0.788,,0.865,5290
KOI 3310,,,0.12,11.953,12.297,11.855,4.464,0.894,,0.918,5401
KOI 4776,,,-0.8,13.216,13.603,13.203,4.444,0.767,,0.871,5934
KOI 4777,,,-0.1,12.671,13.221,12.449,4.991,0.28,,0.28,3396
KOI 4778,,,-0.8,11.729,12.085,11.667,3.787,0.967,,2.08,5951
KOI 7706,,,-1.18,12.797,13.401,12.657,4.761,0.485,,0.48,4281
KOI 4780,,,0.07,13.789,14.195,13.696,4.559,0.977,,0.86,5591
KOI 4849,,,-0.56,12.543,12.955,12.477,4.632,0.779,,0.702,5483
KOI 4850,,,-0.24,12.585,12.961,12.533,4.537,0.922,,0.857,5802
KOI 4852,,,0.18,12.978,13.279,12.92,4.439,1.104,,1.05,5942
KOI 1101,,,0.06,13.627,14.121,13.514,4.587,0.814,,0.76,4999
KOI 3236,,,0.1,11.081,11.319,11.047,3.964,1.443,,2.074,6312
KOI 3312,,,-0.24,14.202,14.563,14.156,4.543,0.958,,0.867,5904
KOI 3313,,,0.3,12.657,13.216,12.598,4.591,0.864,,0.779,4921
KOI 3206,,,0,13.828,15.567,13.591,4.438,1,,1,5780
KOI 4782,,,-0.06,14.337,14.604,14.198,4.485,1.055,,0.973,6032
KOI 4853,,,0.08,13.134,13.518,13.07,4.491,1.032,,0.956,5817
KOI 4854,,,0.14,12.578,12.995,12.511,4.496,0.854,,0.864,5215
KOI 4856,,,0.07,14.217,14.652,14.228,4.478,1.111,,1.007,6046
KOI 4857,,,-0.18,13.8,14.101,13.76,4.507,1.006,,0.927,6011
KOI 4859,,,0.04,13.317,13.9,13.276,4.546,0.737,,0.758,4807
KOI 4861,,,-0.34,13.947,14.338,13.906,4.582,0.872,,0.788,5671
KOI 3248,,,0,10.98,11.289,10.892,4.383,0.96,,1.044,5761
KOI 7715,,,-0.38,13.683,14.009,13.675,4.524,0.954,,0.884,6067
KOI 3318,,,-0.06,14.175,14.521,14.039,4.403,1.03,,1.057,6020
KOI 1404,,,-0.24,13.601,14.167,13.484,4.813,0.479,,0.45,3751
KOI 3319,,,0.14,13.497,13.845,13.458,4.118,1.072,,1.496,5794
KOI 4790,,,-0.18,12.987,13.295,12.905,4.346,1.003,,1.114,6119
KOI 3208,,,-0.08,10.717,11.046,10.661,4.426,0.967,,0.997,5849
KOI 4792,,,-0.06,12.829,13.103,12.826,4.433,1.122,,1.066,6247
KOI 4862,,,-0.18,13.207,13.849,13.056,4.616,0.638,,0.651,4430
KOI 4864,,,-0.38,11.731,12.027,11.659,4.269,0.865,,1.13,5888
KOI 3323,,,0.16,13.499,13.876,13.453,4.151,0.973,,1.373,5562
KOI 4793,,,-0.04,13.742,14.114,13.604,4.515,1.007,,0.918,5851
KOI 4794,,,0.2,12.518,12.942,12.419,4.404,0.854,,0.962,5250
KOI 4797,,,-0.26,13.437,14,13.334,4.584,0.677,,0.696,4810
KOI 3258,,,-0.2,14.067,14.456,13.954,4.568,0.916,,0.82,5665
KOI 3259,,,0.14,13.875,14.259,13.778,4.47,0.875,,0.902,5316
KOI 3329,,,-0.12,14.347,14.645,14.308,4.442,1.102,,1.046,6258
KOI 7716,,,-0.68,13.239,13.621,13.161,4.626,0.806,,0.718,5700
KOI 4799,,,0.2,12.673,13.056,12.62,3.993,1.046,,1.707,5436
KOI 4801,,,0.16,13.81,14.049,13.824,4.472,1.083,,1,5886
KOI 4871,,,-0.4,11.82,12.067,11.778,4.339,1.061,,1.156,6538
KOI 4875,,,0.14,12.805,13.48,12.639,4.722,0.591,,0.555,3880
KOI 3263,,,-0.06,12.886,13.558,12.726,4.828,0.467,,0.436,3638
KOI 3264,,,-0.5,13.735,14.324,13.66,4.622,0.632,,0.643,4794
KOI 4733,,,0.18,13.916,14.428,13.802,4.572,0.844,,0.788,5008
KOI 4735,,,0.14,12.727,13.258,12.697,4.523,0.79,,0.806,4951
KOI 4804,,,-0.44,13.73,14.062,13.666,4.542,0.944,,0.863,6084
KOI 4807,,,0,10.391,10.582,10.278,4.438,1,,1,5780
KOI 4877,,,-0.12,13.136,13.378,13.101,4.426,1.124,,1.075,6322
KOI 4878,,,-0.22,10.874,11.18,10.848,4.368,0.972,,1.068,6031
KOI 1151,,,-0.2,11.819,12.198,11.745,4.499,0.838,,0.853,5528
KOI 3267,,,0.07,13.304,13.599,13.202,4.442,1.169,,1.076,6214
KOI 3268,,,-0.16,13.856,14.237,13.711,4.472,0.862,,0.892,5592
KOI 7708,,,-0.56,11.306,11.675,11.181,3.735,0.979,,2.224,5466
KOI 4737,,,0,13.35,13.667,13.21,4.443,1.114,,1.05,6156
KOI 4808,,,-0.2,12.683,13.406,12.507,4.855,0.415,,0.399,3606
KOI 4810,,,0.14,13.583,14.035,13.644,4.384,0.948,,1.037,5589
KOI 4811,,,-0.08,12.187,12.542,12.144,4.082,0.987,,1.497,5767
KOI 4881,,,-0.34,12.448,12.661,12.389,4.09,1.127,,1.585,6514
KOI 4885,,,0.08,13.329,13.702,13.285,4.308,0.898,,1.101,5516
KOI 3271,,,-0.54,13.914,14.386,13.908,4.6,0.776,,0.732,5549
KOI 3202,,,-0.08,10.036,10.44,9.962,3.675,1.211,,2.648,5132
KOI 4743,,,-0.52,13.243,13.641,13.128,4.605,0.835,,0.747,5683
KOI 4744,,,-0.1,12.282,12.599,12.272,4.516,1,,0.914,5896
KOI 4813,,,-0.7,13.357,13.931,13.246,4.679,0.618,,0.596,4781
KOI 4815,,,-0.42,13.375,13.78,13.377,4.558,0.908,,0.83,5937
KOI 4886,,,-0.06,14.284,14.553,14.206,4.494,1.045,,0.959,5999
KOI 4890,,,0.21,14.458,14.752,14.474,4.331,1.372,,1.325,6622
KOI 4748,,,0.07,14.247,14.488,14.235,4.478,1.111,,1.007,6046
KOI 4749,,,0.04,13.904,14.292,13.822,4.514,1.015,,0.923,5792
KOI 4818,,,-0.08,11.95,12.129,11.91,3.971,1.511,,2.106,6831
KOI 4820,,,-0.06,13.956,14.278,13.924,4.494,1.045,,0.959,5999
KOI 4891,,,-0.14,14.04,14.427,14.088,4.519,1.001,,0.911,5941
KOI 4892,,,-0.52,12.602,12.982,12.577,4.322,0.846,,1.052,5984
KOI 4893,,,0.07,14.182,14.5,14.019,4.486,1.101,,0.993,6014
KOI 3279,,,-0.04,14.186,14.53,14.212,4.493,1.047,,0.96,5982
KOI 4750,,,-0.12,14.177,14.608,14.177,4.56,0.937,,0.84,5662
KOI 3203,,,-0.18,10.848,11.002,10.82,3.793,1.38,,2.467,6404
KOI 4822,,,-0.2,12.111,12.419,12.046,4.472,1.058,,0.989,6201
KOI 4823,,,-0.28,11.095,11.535,11.009,3.823,0.982,,2.011,5339
KOI 4826,,,0.32,13.104,13.394,13.033,3.916,1.19,,1.989,5438
KOI 4895,,,0.12,13.052,13.383,13,4.453,0.901,,0.933,5435
KOI 4898,,,0.07,14.291,14.664,14.138,4.444,1.149,,1.064,6167
KOI 4754,,,-0.22,13.75,14.147,13.636,4.509,1.008,,0.925,6060
KOI 4755,,,0.16,13.169,13.531,13.088,4.516,0.866,,0.851,5207
KOI 4756,,,-0.08,14.042,14.326,13.906,4.41,1.151,,1.108,6355
KOI 4827,,,-0.54,13.66,14.064,13.641,4.554,0.789,,0.777,5675
KOI 4829,,,-0.08,12.864,13.088,12.798,4.358,1.155,,1.179,6407
KOI 4900,,,-0.1,13.641,13.995,13.633,4.435,1.031,,1.021,6086
KOI 4902,,,0.06,12.949,13.507,12.83,4.517,0.766,,0.799,4955
KOI 4759,,,0.14,13.413,13.737,13.28,4.495,1.022,,0.946,5724
KOI 4762,,,-0.1,13.293,13.891,13.207,4.59,0.678,,0.691,4597
KOI 3204,,,0.07,11.738,11.844,11.7,4.225,1.553,,1.593,7338
KOI 7700,,,-0.22,12.69,12.958,12.685,4.432,1.104,,1.059,6382
KOI 4833,,,-0.2,12.163,12.491,12.098,4.195,0.979,,1.31,5992
KOI 4834,,,0.28,11.07,11.54,10.958,3.611,1.554,,3.231,5110
KOI 7711,,,-0.38,12.534,12.898,12.498,4.572,0.865,,0.797,5734
KOI 3503,,,-0.8,12.54,12.807,12.483,4.547,0.925,,0.849,6355
KOI 3367,,,-0.3,13.541,13.881,13.524,4.47,0.998,,0.966,6195
KOI 3368,,,-0.12,13.339,13.701,13.284,4.487,1,,0.945,5947
KOI 3434,,,0.16,13.568,13.865,13.542,4.409,1.053,,1.06,5841
KOI 7746,,,-0.22,14.166,14.5,14.104,4.472,1.056,,0.989,6217
KOI 3437,,,0.14,13.149,13.476,13.03,4.076,1.114,,1.601,5849
KOI 7764,,,-0.36,12.556,12.786,12.492,3.814,1.143,,2.193,6004
KOI 3370,,,0.16,12.696,13.181,12.603,4.516,0.776,,0.805,4891
KOI 7735,,,-0.18,11.61,11.943,11.553,3.733,1.323,,2.59,5993
KOI 3371,,,0.07,12.034,12.441,11.996,4.579,0.931,,0.82,5413
KOI 3372,,,-0.06,13.968,14.268,13.885,4.44,1.111,,1.052,6215
KOI 3520,,,0.24,12.362,12.619,12.29,4.324,1.304,,1.301,6401
KOI 3374,,,0.14,13.12,13.397,13.077,4.106,1.296,,1.668,6144
KOI 3375,,,-0.16,14.063,14.421,14.053,4.492,0.967,,0.924,5889
KOI 3377,,,-1.04,12.89,13.493,12.763,4.731,0.507,,0.508,4338
KOI 3444,,,0.21,10.523,11.166,10.309,4.721,0.536,,0.529,3705
KOI 3522,,,-0.5,10.363,10.358,10.348,3.883,2.148,,2.777,9414
KOI 7780,,,-0.4,11.596,11.838,11.619,3.925,1.267,,2.032,6742
KOI 3383,,,-0.16,14.038,14.559,14.022,4.551,0.868,,0.818,5513
KOI 3384,,,0,11.757,12.022,11.724,4.387,1.059,,1.092,6047
KOI 7749,,,0.16,11.857,12.303,11.785,4.434,0.834,,0.918,5202
KOI 3448,,,0.14,13.557,13.82,13.476,4.244,1.183,,1.358,6074
KOI 3451,,,-0.12,12.726,13.053,12.706,4.377,1.141,,1.147,6414
KOI 1899,,,-0.14,12.625,13.053,12.502,4.327,1.064,,1.175,6327
KOI 7750,,,-0.08,10.773,11.01,10.713,3.774,1.414,,2.553,6303
KOI 3455,,,-0.08,14.131,14.448,13.983,4.539,0.977,,0.88,5783
KOI 332,,,0.46,11.569,11.91,11.475,4.396,1.172,,1.135,5914
KOI 3389,,,0.12,13.101,13.478,13.024,3.679,1.479,,2.916,5640
KOI 3391,,,-0.8,13.432,14.01,13.219,4.699,0.531,,0.54,4342
KOI 3459,,,-0.28,13.701,14.038,13.6,4.545,0.953,,0.863,5931
KOI 1750,,,0.16,13.23,13.624,13.186,4.481,0.928,,0.917,5447
KOI 3460,,,0.32,12.928,13.263,12.892,4.173,1.237,,1.509,5934
KOI 3394,,,0.07,14.076,14.351,13.961,4.442,1.169,,1.076,6214
KOI 3395,,,-0.38,13.144,13.461,13.047,4.453,0.884,,0.924,5912
KOI 3396,,,-0.22,14.007,14.345,13.985,4.554,0.937,,0.848,5818
KOI 3462,,,0.14,14.287,14.646,14.347,4.22,0.914,,1.229,5480
KOI 3541,,,-0.14,12.356,12.624,12.315,4.034,1.152,,1.708,6235
KOI 3397,,,-0.04,14.09,14.329,14.003,4.357,1.235,,1.218,6559
KOI 3398,,,0.4,12.311,12.556,12.289,3.499,1.801,,3.955,5745
KOI 3469,,,-0.06,12.599,12.928,12.469,4.557,0.946,,0.847,5631
KOI 3470,,,0.14,13.864,14.2,13.887,4.321,1.024,,1.158,5806
KOI 3401,,,0.07,12.816,13.2,12.732,4.258,0.944,,1.195,5641
KOI 7773,,,0.07,13.787,14.232,13.751,4.511,0.88,,0.863,5355
KOI 3472,,,-0.18,13.104,13.379,12.991,4.449,1.085,,1.031,6277
KOI 3473,,,0.06,11.929,12.341,11.821,3.766,1.254,,2.427,5214
KOI 3474,,,0.16,12.679,13.002,12.622,4.259,1.109,,1.294,5881
KOI 3554,,,-0.54,13.614,14.024,13.557,4.505,0.803,,0.83,5780
KOI 3335,,,0.07,14.298,14.756,14.365,4.433,1.18,,1.092,6246
KOI 1525,,,0,11.065,11.25,11.039,3.843,1.714,,2.599,6900
KOI 3403,,,0,11.694,12.012,11.638,4.073,1.003,,1.524,5710
KOI 3408,,,-0.2,13.292,13.658,13.219,4.504,0.998,,0.926,6014
KOI 1833,,,-0.58,11.971,12.518,11.831,4.682,0.575,,0.572,4402
KOI 3337,,,-0.04,14.075,14.6,14.106,4.562,0.931,,0.836,5552
KOI 3339,,,-0.52,12.965,13.331,12.901,4.382,0.763,,0.932,5712
KOI 3340,,,-0.5,12.454,12.722,12.403,4.452,0.925,,0.947,6168
KOI 7774,,,-0.28,13.701,14.117,13.671,4.568,0.907,,0.818,5749
KOI 3480,,,-0.38,14.236,14.622,14.15,4.611,0.826,,0.738,5469
KOI 3481,,,0.16,13.047,13.342,13.016,3.627,1.574,,3.192,5527
KOI 3482,,,0.16,13.575,13.923,13.444,4.228,1.018,,1.285,5726
KOI 3483,,,0.16,13.508,13.829,13.486,4.304,1.135,,1.242,5997
KOI 3341,,,0.14,13.465,13.75,13.394,4.193,1.038,,1.352,5775
KOI 3343,,,0.16,13.41,13.733,13.334,4.266,0.937,,1.18,5538
KOI 3344,,,0.16,13.69,14.037,13.604,4.275,0.934,,1.166,5533
KOI 3416,,,-0.18,13.729,14.082,13.708,4.578,0.899,,0.803,5559
KOI 3486,,,-0.2,12.641,13.023,12.513,4.436,0.788,,0.889,5418
KOI 3572,,,-0.68,13.017,13.348,12.937,4.265,0.839,,1.119,6124
KOI 7759,,,-0.18,13.557,13.82,13.428,4.024,1.147,,1.726,6263
KOI 3347,,,-0.22,13.683,14.106,13.509,4.586,0.882,,0.788,5530
KOI 3420,,,0.16,14.085,14.415,13.982,4.127,1.088,,1.492,5821
KOI 7775,,,-0.24,11.611,12.121,11.482,3.819,0.891,,1.924,5115
KOI 3493,,,0.16,13.66,14.006,13.598,4.386,1.057,,1.092,5856
KOI 3495,,,0.16,13.506,13.902,13.42,4.326,1.038,,1.159,5808
KOI 1562,,,-0.22,13.992,14.337,13.948,4.522,0.991,,0.904,5997
KOI 3423,,,0.21,13.009,13.282,12.908,4.402,1.239,,1.161,6277
KOI 3425,,,0.02,11.61,11.897,11.514,3.934,1.251,,2,6120
KOI 7776,,,-0.34,13.121,13.729,13.011,4.64,0.601,,0.614,4378
KOI 3496,,,-0.12,12.544,12.713,12.471,4.108,1.333,,1.685,6602
KOI 7744,,,0,13.729,14.009,13.63,4.434,1.127,,1.067,6193
KOI 3354,,,-0.2,13.326,13.704,13.227,4.479,0.89,,0.9,5718
KOI 3355,,,-0.24,13.605,13.932,13.523,4.432,1.007,,1.013,6187
KOI 7762,,,-0.06,13.803,14.128,13.657,4.483,1.011,,0.955,5914
KOI 3500,,,0.14,11.87,12.161,11.826,3.797,1.408,,2.481,6056
KOI 3358,,,-0.14,12.32,12.727,12.295,4.541,0.876,,0.831,5530
KOI 3361,,,-0.04,13.913,14.245,13.969,4.493,1.047,,0.96,5982
KOI 3430,,,-0.66,13.926,14.328,13.817,4.669,0.718,,0.648,5271
KOI 3433,,,0.1,13.527,13.945,13.344,4.428,0.83,,0.922,5252
KOI 3823,,,0.16,12.446,12.769,12.382,4.498,0.964,,0.917,5536
KOI 3907,,,-0.38,11.264,11.519,11.178,4.002,1.145,,1.767,6507
KOI 3680,,,0,13.041,13.384,13.101,4.397,0.941,,1.017,5705
KOI 2018,,,-0.48,12.895,13.242,12.827,4.401,0.762,,0.911,5657
KOI 2055,,,0.16,12.957,13.332,12.924,4.308,0.924,,1.116,5509
KOI 3908,,,-0.02,10.536,10.836,10.453,4.106,1.006,,1.471,5786
KOI 3909,,,0.16,13.608,13.883,13.596,4.163,1.257,,1.536,6121
KOI 7793,,,-0.1,12.891,13.55,12.746,4.738,0.518,,0.51,3799
KOI 3681,,,0.14,10.728,10.953,10.688,4.385,1.21,,1.167,6259
KOI 3913,,,-0.22,13.517,13.86,13.462,4.46,1.068,,1.009,6263
KOI 3689,,,-0.28,12.694,12.971,12.627,4.241,1.079,,1.305,6452
KOI 3925,,,0.2,12.451,12.798,12.3,4.215,1.015,,1.303,5678
KOI 7795,,,-0.34,13.143,13.506,13.074,4.59,0.827,,0.762,5519
KOI 3692,,,-0.32,13.574,13.877,13.521,4.161,1.009,,1.382,6200
KOI 3770,,,0.16,12.885,13.132,12.835,4.352,1.257,,1.236,6366
KOI 3771,,,-0.32,14.748,15.166,14.687,4.426,0.826,,0.921,5687
KOI 3849,,,0,12.974,13.648,12.827,4.82,0.439,,0.427,3569
KOI 2029,,,-0.14,11.178,11.61,11.132,4.563,0.796,,0.772,5208
KOI 2059,,,0,10.791,11.305,10.664,4.598,0.806,,0.746,4997
KOI 3856,,,0.2,11.867,12.167,11.748,3.602,1.635,,3.348,5904
KOI 3783,,,0.24,12.059,12.181,12.009,4.093,1.69,,1.935,7214
KOI 1986,,,0.16,12.923,13.376,12.782,4.548,0.868,,0.821,5159
KOI 7796,,,-0.08,13.073,13.354,13.006,4.412,1.106,,1.085,6269
KOI 7785,,,-0.32,12.596,13.07,12.51,4.519,0.727,,0.777,5232
KOI 3864,,,-0.1,11.013,11.489,10.915,4.559,0.756,,0.756,5014
KOI 2061,,,0.12,13.756,14.244,13.551,4.596,0.864,,0.77,5081
KOI 3791,,,-0.38,12.43,12.667,12.367,4.163,1.031,,1.393,6340
KOI 3801,,,0.1,14.314,14.725,14.188,4.252,0.969,,1.22,5672
KOI 3875,,,-0.62,12.015,12.309,11.954,4.027,0.888,,1.514,6022
KOI 3876,,,0.06,11.152,11.456,11.107,4.533,0.971,,0.884,5620
KOI 7791,,,-0.1,3.014,4.097,2.311,0.114,1.11,,152.969,3287
KOI 416,,,-0.18,12.488,12.853,12.301,4.612,0.826,,0.738,5176
KOI 7798,,,-0.08,13.471,13.683,13.414,4.386,1.183,,1.155,6450
KOI 3811,,,0.07,12.259,12.64,12.166,4.212,0.947,,1.263,5631
KOI 2004,,,0.34,11.872,12.174,11.803,4.327,1.071,,1.176,5700
KOI 3813,,,-0.08,12.916,13.108,12.906,4.361,1.226,,1.207,6586
KOI 3815,,,0.07,14.013,14.31,14.063,4.454,1.15,,1.053,6161
KOI 3890,,,-0.18,10.998,11.575,10.889,2.933,1.761,,7.506,4991
KOI 3891,,,-0.42,11.761,12.295,11.668,3.597,1.115,,2.78,5258
KOI 1671,,,0.02,12.182,12.471,12.134,4.25,1.026,,1.259,5897
KOI 7849,,,-0.24,13.237,13.579,13.221,4.418,0.885,,0.962,5783
KOI 7850,,,0.32,14.321,14.689,14.125,4.462,1.116,,1.028,5828
KOI 2480,,,-0.2,13.061,13.726,12.875,4.696,0.556,,0.554,3993
KOI 1694,,,-0.18,12.901,13.207,12.848,4.395,1.003,,1.054,6120
KOI 1957,,,0.36,11.425,11.671,11.359,4.04,1.66,,2.037,6823
