STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-1349,,260,0.03,9.818,10.072,9.761,4.29,1.16,,1.28,6086
Kepler-877,,572,-0.06,12.736,13.174,12.653,4.56,0.85,,0.81,5261
Kepler-720,,880,0,13.39,13.785,13.243,4.49,0.95,,0.92,5618
Kepler-932,,478,-0.01,12.271,12.732,12.21,4.54,0.87,,0.84,5331
Kepler-1628,,352,0.17,13.41,14.126,13.224,4.74,0.55,,0.52,3724
Kepler-158,,,,12.138,12.722,12.057,4.66,,,0.624,4623
Kepler-858,,296,-0.04,10.943,11.297,10.862,4.5,0.96,,0.91,5653
Kepler-777,,383,-0.17,13.209,13.875,13.046,4.71,0.58,,0.56,4043
HD 93083,0.945,27.8552,0.15,6.259,6.694,6.132,4.26,0.7,,1.14863,4995
Kepler-970,,350,-0.08,12.355,12.98,12.215,4.64,0.7,,0.67,4511
HD 31253,0.58,50.3018,0.16,5.839,6.06,5.792,4.1,1.23,,1.64612,5960
Kepler-1579,,466,0.11,12.855,13.439,12.744,4.63,0.75,,0.7,4584
Kepler-191,,0,0.006,12.959,13.42,12.883,4.59,0.85,,0.79,5282
Kepler-357,,,,13.514,13.991,13.41,4.503,,,0.834,5036
Kepler-861,,806,0.01,13.674,14.129,13.532,4.58,0.82,,0.78,5047
Kepler-1258,,651,-0.07,12.388,12.763,12.382,4.45,0.99,,0.99,5839
TRAPPIST-1,,12.1095,0.04,10.71,11.35,10.29,4.39,0.08,70.92,0.117,2550
Kepler-552,,834,0.01,12.877,13.198,12.78,4.42,1.03,,1.04,5863
HD 89744,0.531,39.4322,0.22,4.528,4.855,4.453,3.98,1.48,,2.02329,6234
Kepler-1441,,751,0.01,12.727,13.08,12.688,4.45,1,,1,5802
Kepler-1341,,466,0.19,12.782,13.285,12.636,4.62,0.79,,0.72,4662
Kepler-738,,992,-0.09,13.855,14.311,13.818,4.55,0.86,,0.82,5327
HD 183263,0.678,55.0964,0.301955,6.527,6.782,6.421,4.40343,1.121,,1.11717,5936.41
WASP-42,,160,0.05,10.103,10.542,10.033,4.5,0.881,2.01344,0.85,5200
Kepler-1612,,837,0.03,13.141,13.498,13.075,4.48,0.96,,0.94,5643
Kepler-885,,632,0.11,11.633,11.833,11.535,4.26,1.21,,1.35,6187
Kepler-53,,,,13.91,14.252,13.81,4.498,,,0.958,6085
Kepler-48,,,0.17,11.292,11.702,11.221,4.487,0.88,1.98,0.89,5194
Kepler-1614,,982,-0.17,14.053,14.588,14.001,4.58,0.79,,0.76,5121
HD 192310,0.878,8.91107,-0.04,3.582,4.112,3.501,4.51,0.8,,0.847025,5166
HD 1690,1.354,310.559,-0.29,6.229,6.877,6.018,2.16,1.18,,21.1524,4364
HAT-P-41,0.29,344,0.21,9.777,10.006,9.728,4.14,1.418,,1.683,6390
Kepler-1493,,572,0.06,11.6,11.925,11.53,4.24,1.06,,1.29,5863
Kepler-42,1.836,38.7,-0.48,11.685,12.177,11.465,,0.13,,0.17,3068
